        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [°C] , GPU Power [W] , GPU Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] ,
2014-01-24 11:54:39 ,             1250.0   ,                800.0   ,               61.0   ,        13.8   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:54:40 ,             1250.0   ,                800.0   ,               61.0   ,        13.8   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:54:41 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:42 ,             1250.0   ,                800.0   ,               61.0   ,        14.1   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:43 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:54:44 ,             1250.0   ,                800.0   ,               61.0   ,        14.1   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:54:45 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:54:46 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:54:47 ,             1250.0   ,                800.0   ,               61.0   ,        13.8   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:54:48 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:54:49 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:54:50 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:51 ,             1250.0   ,                800.0   ,               61.0   ,        14.1   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:52 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:54:53 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:54:54 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:55 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:54:56 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:54:57 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:58 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:54:59 ,             1250.0   ,                800.0   ,               63.0   ,        14.0   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:55:00 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:55:01 ,             1250.0   ,                800.0   ,               61.0   ,        13.7   ,         78   ,                          16   ,                       290   ,
2014-01-24 11:55:02 ,             1250.0   ,                800.0   ,               61.0   ,        13.8   ,         78   ,                          16   ,                       290   ,
2014-01-24 11:55:03 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:55:04 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:55:05 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:55:06 ,             1250.0   ,                800.0   ,               62.0   ,        14.0   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:55:07 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       290   ,
2014-01-24 11:55:08 ,             1200.0   ,                800.0   ,               62.0   ,        13.3   ,         76   ,                          16   ,                       297   ,
2014-01-24 11:55:09 ,             1250.0   ,                800.0   ,               62.0   ,        13.5   ,         77   ,                          16   ,                       286   ,
2014-01-24 11:55:10 ,             1250.0   ,                800.0   ,               62.0   ,        13.2   ,         76   ,                          16   ,                       290   ,
2014-01-24 11:55:11 ,             1250.0   ,                800.0   ,               61.0   ,        13.5   ,         77   ,                          16   ,                       290   ,
2014-01-24 11:55:12 ,             1250.0   ,                800.0   ,               61.0   ,        13.7   ,         77   ,                          16   ,                       287   ,
2014-01-24 11:55:13 ,             1250.0   ,                800.0   ,               62.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:55:14 ,             1250.0   ,                800.0   ,               62.0   ,        14.0   ,         78   ,                          16   ,                       287   ,
